id_number,Finished,Progress,Duration,Year,Month,Day,adults,children,postcode,exp_house_inc_2021,work_mood_2019,work_mood_2020,avg_work_hour_2019,avg_work_hour_2020,TDW_2019,EM_2019,EE_2019,LT_2019,ON_2019,TDW_2020,EM_2020,EE_2020,LT_2020,ON_2020,work_stability_2019,work_stability_2020,comfortable_2019,lonely_2019,active_2019,connected_2019,peaceful_2019,chaotic_2019,comfortable_2020,lonely_2020,active_2020,connected_2020,peaceful_2020,chaotic_2020,mental_cond_2019,mental_cond_2020,age_group,new_house_inc_2019,new_house_inc_2020
13,1,100,1072.1027809542481,2021,1,24,3,1,3110,109289.63863649065,2,5,6,1,1,0,0,0,0,0,0,0,1,1,1,3,0,0,1,1,1,0,0,0,0,0,0,1,3,2,"(35.2,48.4]",110563.22930385201,69409.35599533806
14,1,100,726.3984224370176,2021,1,9,4,0,3205,118896.0763881719,2,2,2,2,1,0,0,0,1,1,0,0,0,0,4,2,0,0,1,1,0,0,1,0,0,1,1,1,2,1,"(61.6,74.8]",193338.29529725446,239326.53011466053
15,1,100,677.2465871711667,2021,1,4,2,0,3023,0,2,1,6,1,1,0,0,0,0,NA,NA,NA,NA,NA,1,NA,1,0,0,1,0,0,0,0,0,1,1,0,3,1,"(35.2,48.4]",115976.91178221045,128977.82149295301
16,1,100,371.2605451713466,2021,1,16,2,2,3005,198320.73526625417,2,6,6,4,1,0,0,0,0,0,1,0,0,1,2,4,0,0,1,0,0,0,0,0,0,1,0,1,3,1,"(48.4,61.6]",128738.63696282623,136292.8007933449
17,1,100,1550.43666298177,2021,1,19,1,3,3086,92971.07985422423,3,6,6,5,1,1,0,0,0,0,1,0,1,0,1,4,1,0,1,0,0,1,0,1,0,1,0,0,1,3,"(48.4,61.6]",87970.55101456655,95042.9659652951
18,1,100,1731.0196255956785,2021,1,13,3,2,3086,102128.54082450364,2,6,6,6,1,0,0,0,0,0,0,0,1,0,4,3,1,0,1,0,0,0,0,0,0,1,1,1,2,3,"(48.4,61.6]",111952.72694501597,0
19,1,100,481.433358931918,2021,1,16,2,1,3180,88594.38888088962,2,6,6,6,1,0,0,1,0,0,0,1,0,1,1,2,0,0,1,0,0,0,1,0,0,0,0,0,1,1,"(35.2,48.4]",130249.97135169439,113420.21290057762
20,1,100,283.94826941533813,2021,1,20,1,0,3167,54555.5568170904,2,2,3,2,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,2,3,"(48.4,61.6]",140423.55756733072,138764.81792510534
21,1,100,1490.0191114097042,2021,1,31,2,1,3205,86899.1356940953,2,6,3,6,1,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,1,0,3,1,"(48.4,61.6]",84089.91744961662,140267.90068155614
22,1,100,1247.1171566564637,2021,1,1,1,0,3084,229722.13518303208,2,6,6,5,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,2,"(48.4,61.6]",65447.21834675941,113342.8311843241
23,1,100,836.4084923356633,2021,1,25,3,0,3096,138459.1264350475,2,6,5,6,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,1,2,"(35.2,48.4]",111082.33393718858,88412.54574421147
24,1,100,223.61187491574734,2021,1,28,2,-0,3098,153999.79396122514,4,6,6,6,1,0,1,0,0,0,0,0,1,0,2,3,0,0,0,1,0,0,1,1,0,1,0,0,1,3,"(48.4,61.6]",102785.34802211823,298436.98972647794
25,1,100,1050.7816404168552,2021,1,13,3,1,3043,124288.15582937363,2,2,5,2,1,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1,0,0,1,0,1,1,3,"(48.4,61.6]",60604.28542428933,169288.8067799467
26,1,100,1113.3197493002665,2021,1,26,2,2,3046,130160.2670038804,2,6,4,3,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,2,"(48.4,61.6]",NA,0
27,1,100,1525.8353449415804,2021,1,28,1,2,3180,97837.45383037746,2,1,6,1,0,1,0,0,1,NA,NA,NA,NA,NA,1,NA,0,0,0,1,0,0,1,0,0,1,0,1,1,1,"(35.2,48.4]",80895.40030754564,74038.38828624379
28,1,100,2869.197440666046,2021,1,2,4,0,3136,39512.12876102291,2,6,1,1,1,0,0,0,0,0,0,0,1,0,2,3,0,0,1,1,0,0,1,0,1,1,0,0,2,2,"(35.2,48.4]",66139.49702901974,0
29,1,100,313.4453162865468,2021,1,27,3,1,3052,93241.92460561167,2,6,6,6,1,0,0,0,0,0,0,0,0,1,3,2,1,0,0,0,0,0,0,0,0,1,0,0,3,1,"(61.6,74.8]",103923.22514832555,0
30,1,100,854.5191969740326,2021,1,16,2,0,3184,0,2,1,5,1,1,0,1,0,0,0,0,0,1,0,4,4,0,1,1,0,0,0,0,1,0,1,0,0,2,2,"(35.2,48.4]",98819.93707691578,131629.89187260438
31,1,100,268.748686294918,2021,1,9,1,0,3195,130880.84704649365,6,6,6,6,1,0,0,0,1,0,0,1,1,0,1,4,0,0,0,0,0,0,1,0,0,0,0,1,1,2,"(35.2,48.4]",170033.4230620637,118956.5644103717
32,1,100,856.0404875634056,2021,1,6,1,0,3034,76602.6533737405,6,1,6,1,1,0,0,0,0,NA,NA,NA,NA,NA,1,NA,0,0,0,0,1,0,0,0,0,1,0,1,3,2,"(48.4,61.6]",81811.15007481878,107183.05055633231
33,1,100,527.3518000960769,2021,1,16,3,-0,3007,157648.4527834898,6,1,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,4,NA,0,0,0,0,0,0,1,0,0,1,0,1,1,2,"(35.2,48.4]",64329.87844833593,197061.17882928316
34,1,100,620.5819399024734,2021,1,16,2,1,3085,235738.0888262129,4,6,1,3,1,0,1,0,0,0,0,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,2,"(35.2,48.4]",38091.63081509002,149697.34475785622
35,1,100,162.38627579091477,2021,1,4,3,2,3138,111036.65380232288,2,6,6,1,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,1,0,3,3,"(35.2,48.4]",194676.2293137635,214389.8628232971
36,1,100,313.3720989014985,2021,1,11,2,1,3169,100074.35304324783,2,6,5,6,1,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,3,3,"(61.6,74.8]",172228.82959346,130612.02047373069
37,1,100,183.45227348355064,2021,1,27,2,0,3198,149753.93700027812,2,1,6,1,1,0,0,1,0,NA,NA,NA,NA,NA,2,NA,0,0,1,0,0,0,0,0,0,1,0,0,2,2,"(35.2,48.4]",183966.94447972384,0
38,1,100,886.9903468178214,2021,1,4,2,-0,3090,153606.40902237894,2,1,6,1,1,0,0,0,0,NA,NA,NA,NA,NA,1,NA,1,0,0,0,1,1,1,0,1,1,0,0,3,2,"(21.9,35.2]",94499.01238350652,248790.37247154
39,1,100,1516.3418181896118,2021,1,1,1,2,3174,85347.30277442248,2,6,6,1,1,0,0,0,0,0,0,0,1,1,1,4,1,0,1,0,0,1,1,0,0,0,0,0,1,2,"(48.4,61.6]",148676.7936162367,186857.71922379354
40,1,100,328.7049451987926,2021,1,17,2,1,3108,191267.1388804367,2,1,6,1,1,0,1,0,0,NA,NA,NA,NA,NA,2,NA,1,0,1,0,0,0,1,0,0,1,0,0,1,1,"(35.2,48.4]",97320.70468074802,0
41,1,100,284.08256867812634,2021,1,29,1,1,3161,139988.20003982823,3,1,6,2,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,2,2,"(48.4,61.6]",93763.42906679938,84332.98957137075
42,1,100,293.67878971412694,2021,1,2,4,0,3038,163357.72799987253,2,1,6,1,0,0,0,0,1,NA,NA,NA,NA,NA,3,NA,1,0,1,1,0,1,1,0,0,1,0,0,1,2,"(48.4,61.6]",156439.36133091984,112403.07865322093
43,1,100,45.82133907681832,2021,1,13,3,0,3196,112095.02544510919,2,2,5,1,1,0,0,0,0,1,0,0,1,0,1,3,0,1,1,0,0,0,0,0,0,1,0,1,1,1,"(48.4,61.6]",159000.66622554627,146191.3136397747
44,1,100,529.7741247142118,2021,1,26,1,1,3186,177188.4171935948,5,1,3,1,1,0,0,0,1,NA,NA,NA,NA,NA,1,NA,1,0,1,0,1,0,0,0,0,1,0,1,2,3,"(35.2,48.4]",43461.83127068242,0
45,1,100,175.98200357394055,2021,1,12,3,0,3020,0,2,6,6,1,1,0,1,0,0,0,0,0,0,0,1,4,1,0,1,1,0,0,1,0,0,1,0,1,2,1,"(48.4,61.6]",163782.25430391333,64477.133437029275
46,1,100,246.93362990646702,2021,1,20,2,1,3177,57205.38964745712,3,1,6,1,1,0,0,0,0,NA,NA,NA,NA,NA,1,NA,1,0,0,0,0,0,1,0,0,0,0,0,1,3,"(35.2,48.4]",75709.68913511682,128989.52246768176
47,1,100,1065.8345566847092,2021,1,14,1,1,3104,114195.27097415598,2,1,5,1,1,0,0,0,0,NA,NA,NA,NA,NA,1,NA,1,0,0,0,0,1,0,0,1,1,0,0,3,2,"(35.2,48.4]",189965.8768436274,183008.53148637144
48,1,100,95.9631282914086,2021,1,10,1,1,3166,64044.90936009165,6,1,4,1,1,0,0,0,0,NA,NA,NA,NA,NA,4,NA,0,0,0,0,0,0,1,0,0,1,0,0,3,3,"(35.2,48.4]",60667.19120307802,132679.135763651
49,1,100,431.4688601108601,2021,1,15,3,0,3163,222797.74510139698,2,6,6,1,1,0,1,0,0,0,0,1,1,1,1,4,0,0,1,0,1,0,1,0,0,1,0,1,1,2,"(48.4,61.6]",97471.9510889203,0
50,1,100,157.17993264932096,2021,1,10,1,1,3050,99567.8973395107,2,6,5,1,0,1,1,0,1,0,1,0,0,0,4,4,0,0,1,1,0,1,1,0,0,0,1,0,2,1,"(35.2,48.4]",167065.19067220594,0
51,1,100,196.7753476346965,2021,1,7,4,0,3003,148579.7676828409,5,4,5,6,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,3,"(21.9,35.2]",41300.29029269333,0
52,1,100,1922.7381323952823,2021,1,28,1,-0,3063,237557.90357019444,2,6,6,6,1,0,1,1,0,1,1,0,1,0,1,4,0,0,1,0,0,0,1,0,1,1,0,0,3,1,"(48.4,61.6]",64844.211155023644,269021.0862873918
53,1,100,270.9391378918797,2021,1,23,3,1,3034,104806.21050657099,2,1,5,1,1,0,1,0,1,NA,NA,NA,NA,NA,1,NA,1,0,1,0,1,0,1,0,0,1,0,1,1,1,"(61.6,74.8]",102654.74576006293,0
54,1,100,475.1560583570583,2021,1,5,3,2,3163,0,2,1,6,1,0,0,0,1,0,NA,NA,NA,NA,NA,1,NA,1,0,0,0,0,1,1,0,0,1,0,0,3,3,"(48.4,61.6]",122190.37394795282,179267.76532535267
55,1,100,604.4588746708328,2021,1,1,3,0,3112,147457.496466068,5,2,6,4,1,0,0,0,0,1,0,0,1,0,1,4,0,0,1,0,1,0,1,0,0,0,1,0,1,1,"(21.9,35.2]",157318.64688845142,85177.7595673374
56,1,100,392.1505781413752,2021,1,15,1,1,3158,89436.96940669566,2,6,6,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,3,1,"(48.4,61.6]",132867.22165043565,94904.17872684359
57,1,100,653.2699632274613,2021,1,23,3,0,3035,147527.7269716638,2,6,5,1,1,0,0,0,0,0,1,0,0,0,1,4,1,0,1,0,1,1,1,1,0,1,0,1,3,2,"(61.6,74.8]",102313.1802168153,0
58,1,100,585.5807094724584,2021,1,18,2,2,3117,154689.9771598697,5,6,6,6,0,0,0,1,0,0,0,0,1,0,2,2,0,1,0,0,0,0,0,0,0,1,0,1,1,2,"(48.4,61.6]",91607.0725417072,266445.70666903525
59,1,100,470.0419469297895,2021,1,4,2,3,3140,93865.73437189305,2,6,6,5,1,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,1,0,0,1,0,0,1,3,"(48.4,61.6]",128825.209210762,172438.4311763482
60,1,100,383.5692172143902,2021,1,17,2,1,3102,164567.1173890202,2,6,6,1,1,0,1,0,0,0,1,1,1,0,4,3,0,0,0,0,0,0,1,0,0,1,0,0,2,2,"(21.9,35.2]",53937.46228795332,77980.55901518653
61,1,100,262.66828018268916,2021,1,4,3,1,3031,166723.07174027959,2,5,6,2,1,0,0,0,1,0,0,1,1,1,2,4,1,0,0,0,0,0,1,1,0,0,1,0,1,3,"(48.4,61.6]",137999.64759203343,155246.6515673793
62,1,100,62.12245649554679,2021,1,13,1,1,3053,129599.27390990287,3,6,1,6,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,1,0,0,3,2,"(35.2,48.4]",76989.87947850335,87011.75355647321
63,1,100,707.4486740656104,2021,1,13,2,1,3053,97699.74471696427,2,1,6,1,1,0,0,0,0,NA,NA,NA,NA,NA,2,NA,1,0,1,0,1,0,1,0,0,0,1,1,1,1,"(48.4,61.6]",79500.96663263495,114845.03882770016
64,1,100,305.92247750066093,2021,1,25,1,-0,3023,171431.30227217602,6,1,4,1,1,0,1,0,0,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,1,0,0,1,0,1,1,2,"(35.2,48.4]",99226.97652117925,0
65,1,100,681.5306413242183,2021,1,10,2,1,3085,103389.69552644402,6,6,6,6,1,0,0,0,1,0,0,0,1,0,4,3,0,0,1,1,0,1,1,0,0,0,1,0,2,3,"(35.2,48.4]",116872.30004125967,165802.69698502682
66,1,100,245.6811878954971,2021,1,10,2,1,3140,118455.51967561027,2,3,6,5,1,0,0,0,0,1,0,0,1,1,1,4,0,0,1,0,0,0,1,0,0,0,0,0,3,1,"(48.4,61.6]",148111.6998551166,0
67,1,100,895.1575038052173,2021,1,18,4,1,3006,204221.48383611877,2,6,6,5,1,0,0,0,0,1,0,1,1,0,1,4,0,0,1,0,1,0,0,0,0,1,0,1,3,2,"(35.2,48.4]",232326.26437804094,191294.005439174
68,1,100,497.8624230259961,2021,1,20,2,2,3204,113749.07768292808,2,3,6,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,"(35.2,48.4]",114205.93525258364,186154.30994380283
69,1,100,730.3524768137464,2021,1,24,3,1,3132,82303.92342521361,2,1,6,6,1,1,1,0,0,1,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,1,0,1,3,3,"(35.2,48.4]",159444.98018675594,0
70,1,100,1041.774124709864,2021,1,27,1,2,3012,134119.0966486369,6,6,6,2,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,3,"(48.4,61.6]",112303.8965182425,0
71,1,100,1008.992750138117,2021,1,6,2,-0,3150,208730.60305919568,2,1,6,1,1,0,0,0,0,NA,NA,NA,NA,NA,1,NA,1,0,1,0,0,0,0,0,0,0,1,0,2,3,"(35.2,48.4]",247337.79432311872,133455.99822172883
72,1,100,66.83982166801157,2021,1,30,3,2,3075,93921.24392513596,2,2,6,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,3,"(48.4,61.6]",118546.08793046766,0
73,1,100,168.23229065007044,2021,1,4,2,4,3143,99353.07643060261,3,6,6,1,0,0,1,0,0,1,0,0,0,1,4,2,1,0,1,0,0,0,1,0,0,1,0,1,1,3,"(48.4,61.6]",70192.79097100566,0
74,1,100,618.7519096097818,2021,1,4,1,0,3106,90864.42559556171,2,1,6,1,1,0,0,0,0,NA,NA,NA,NA,NA,1,NA,0,0,1,0,0,0,1,0,0,0,0,1,1,3,"(35.2,48.4]",70668.84550877918,78146.5571921528
75,1,100,186.84344169786274,2021,1,19,2,-0,3071,0,2,6,1,1,1,0,0,1,1,0,0,1,0,0,2,1,0,0,1,0,1,0,0,0,1,1,0,0,3,2,"(48.4,61.6]",66103.61294923021,104824.99837858151
76,1,100,1443.9588816165847,2021,1,6,2,0,3152,89849.68891431217,2,6,6,1,1,0,1,0,0,1,0,1,1,0,1,3,1,0,1,0,0,0,1,0,1,1,0,0,3,3,"(35.2,48.4]",172954.0573249378,101330.11983361651
77,0,27.5,NA,NA,NA,NA,3,-0,3185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(48.4,61.6]",236027.40821509637,110707.06968873786
78,1,100,387.2508583588214,2021,1,2,1,1,3166,197115.09630516666,6,4,6,6,1,0,0,1,0,0,0,0,0,0,2,3,1,1,0,0,0,0,0,0,1,1,0,1,3,2,"(48.4,61.6]",67525.01388119154,119812.75532516802
79,1,100,572.9249619664851,2021,1,21,3,1,3008,144710.09746399804,4,1,6,6,1,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,1,2,"(35.2,48.4]",79555.90800522096,113466.01663560084
80,1,100,449.4925446102891,2021,1,20,2,0,3037,0,2,6,6,1,1,0,0,0,0,0,0,0,1,0,2,4,0,0,1,0,1,0,0,1,0,1,0,1,1,1,"(48.4,61.6]",166236.11872412064,173018.04889288504
81,1,100,527.9726806251949,2021,1,20,1,-0,3199,63805.06715883489,2,6,4,1,1,0,1,0,0,0,0,0,1,0,1,4,0,0,1,0,0,0,0,0,0,1,0,1,3,2,"(21.9,35.2]",43791.41509778476,96631.13312466303
82,1,100,1379.2812895318723,2021,1,21,1,2,3187,132184.75920850525,6,4,6,6,1,0,0,0,0,1,1,1,1,1,1,2,0,0,1,0,1,0,1,0,1,1,0,0,1,3,"(61.6,74.8]",109986.4613205296,260747.69698563137
83,1,100,1574.3110785753988,2021,1,15,3,1,3171,84636.13244780117,3,6,6,1,1,0,1,0,0,1,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,1,0,0,3,3,"(35.2,48.4]",88241.68583482396,0
84,1,100,443.87332140868887,2021,1,23,3,-0,3030,148099.01569861663,2,1,5,1,1,0,0,0,0,NA,NA,NA,NA,NA,3,NA,0,0,0,0,0,0,1,0,0,1,0,1,1,1,"(61.6,74.8]",173537.17053425618,97819.05060769021
85,1,100,533.9365288574093,2021,1,16,4,2,3133,95088.91874750127,2,2,6,6,1,1,0,1,1,0,0,0,0,0,2,4,0,0,1,0,1,0,0,0,0,1,1,1,1,2,"(61.6,74.8]",186000.98793122842,111059.17329878686
86,1,100,275.6732527791778,2021,1,24,2,1,3134,211719.3546814053,6,2,5,1,1,0,0,0,0,0,0,0,1,0,1,4,1,1,0,0,0,0,1,1,0,1,0,0,3,2,"(21.9,35.2]",113399.0775917792,154875.10119660274
87,1,100,2088.1826194471073,2021,1,20,2,1,3174,105677.3592344012,6,6,6,2,1,0,0,1,1,1,0,0,1,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,3,1,"(35.2,48.4]",81402.28932274034,100400.17727828765
88,1,100,175.18721822930942,2021,1,27,2,0,3005,144977.19759839034,2,2,3,6,0,0,0,0,0,0,0,0,1,0,4,3,0,0,1,0,0,0,1,1,0,1,0,0,3,3,"(35.2,48.4]",51260.14620587981,146642.60732026602
89,1,100,466.6610808559394,2021,1,18,3,3,3150,71794.59689773434,6,6,5,1,1,0,1,0,1,1,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,1,1,1,1,1,"(48.4,61.6]",94605.05742586598,0
90,1,100,1135.9165536541116,2021,1,28,1,2,3090,205389.17865397665,2,2,3,6,1,0,1,1,0,0,0,0,1,0,4,2,0,0,1,0,0,1,0,1,0,1,0,0,3,3,"(35.2,48.4]",135357.09281572094,148826.76299631855
91,1,100,444.00158872708994,2021,1,11,1,0,3164,0,2,6,5,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,3,1,"(61.6,74.8]",115239.8094535605,140897.61458351885
92,1,100,1205.9838138310095,2021,1,23,3,1,3062,315351.4956725063,6,1,6,1,1,0,0,0,0,NA,NA,NA,NA,NA,1,NA,0,0,1,0,1,0,0,1,0,0,0,1,1,2,"(61.6,74.8]",94196.9598152155,179331.44222526325
93,1,100,1337.0080906971791,2021,1,17,3,2,3161,188898.81635548623,2,1,6,1,0,0,0,0,0,NA,NA,NA,NA,NA,4,NA,0,0,1,0,0,0,1,0,0,1,1,1,1,1,"(21.9,35.2]",60672.83733440823,143643.29596238176
94,1,100,237.51671313714436,2021,1,31,1,1,3053,84200.89960506982,2,4,2,6,1,0,0,0,0,0,0,0,0,0,1,4,1,0,1,0,1,0,0,1,0,1,0,1,1,1,"(48.4,61.6]",33733.320844426125,61444.646395166885
95,1,100,1132.8843149544855,2021,1,4,2,1,3017,112846.98279696498,6,6,6,6,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,1,0,1,0,0,1,2,"(48.4,61.6]",104368.3533878261,0
96,1,100,486.97268741736247,2021,1,26,2,1,3030,94925.85430234368,2,6,3,6,1,0,0,0,1,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,0,1,0,0,1,1,"(48.4,61.6]",59208.17448058691,0
97,1,100,1208.9729003353984,2021,1,30,2,1,3183,143803.64512898668,6,4,6,3,1,0,0,0,0,1,0,1,0,0,2,4,0,0,0,1,0,1,0,0,0,1,1,1,2,3,"(48.4,61.6]",130793.84461345294,0
98,1,100,192.81352943234975,2021,1,16,1,0,3013,67752.41994770127,6,1,2,1,1,0,0,0,0,NA,NA,NA,NA,NA,4,NA,1,1,0,0,0,0,0,0,0,1,0,0,1,2,"(35.2,48.4]",146742.6762154905,140651.8539410624
99,1,100,261.21496460560047,2021,1,10,1,2,3033,0,5,6,3,1,1,0,0,0,0,1,0,1,1,0,4,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,"(35.2,48.4]",83486.2934724768,0
100,1,100,1565.8491762224899,2021,1,18,1,1,3075,0,2,1,6,1,0,0,0,0,0,NA,NA,NA,NA,NA,1,NA,0,0,1,0,1,0,0,0,0,1,0,0,2,3,"(48.4,61.6]",157739.33052691456,0
101,1,100,325.9601842582778,2021,1,13,3,1,3193,168870.9921897997,2,1,6,1,1,1,0,0,1,NA,NA,NA,NA,NA,1,NA,0,0,1,0,0,0,0,0,0,1,0,0,1,1,"(21.9,35.2]",96348.17526233123,127647.19080002332
102,1,100,406.0853286424492,2021,1,29,4,2,3035,0,6,6,6,1,1,0,0,0,0,0,0,0,1,0,4,2,0,0,1,0,0,0,0,0,0,1,1,1,2,1,"(35.2,48.4]",53693.42623920391,87636.64356507765
103,1,100,13.338995147139256,2021,1,18,3,1,3059,0,2,2,6,1,1,0,0,0,1,1,0,0,1,0,4,3,1,0,1,0,0,0,1,0,0,1,0,1,2,3,"(48.4,61.6]",30411.346376461475,192279.11222782813
104,1,100,166.54679951339355,2021,1,5,3,2,3180,69134.67166339717,2,6,6,5,0,0,1,0,0,1,0,1,0,1,4,1,1,0,0,0,0,0,1,0,0,1,0,0,1,3,"(35.2,48.4]",162133.04006766906,0
105,1,100,1151.7439231466608,2021,1,14,2,2,3045,65569.33062966615,2,6,2,1,1,0,0,0,0,1,0,0,1,0,1,4,0,0,1,0,0,1,0,0,1,0,0,0,1,1,"(35.2,48.4]",69825.43046106356,131180.77415035816
106,1,100,532.6290795503035,2021,1,8,2,1,3157,122293.49121993949,2,6,5,4,0,1,0,0,0,0,1,0,0,1,2,2,0,0,1,0,1,0,1,0,1,1,0,1,1,1,"(35.2,48.4]",181555.95514907682,72360.88027557977
107,1,100,3096.934367805215,2021,1,9,3,1,3129,68962.6951838186,2,1,6,1,1,1,0,0,0,NA,NA,NA,NA,NA,3,NA,1,0,1,0,0,1,0,0,0,1,0,1,1,2,"(35.2,48.4]",285240.254340932,0
108,1,100,539.5406424924759,2021,1,27,3,2,3178,60415.708675471105,4,2,3,3,1,1,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,0,1,1,"(48.4,61.6]",104233.94970103285,51815.04239785771
109,1,100,1741.6897500162677,2021,1,16,2,1,3204,169264.8742813706,2,1,6,1,0,0,0,0,0,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,1,0,0,0,0,0,0,2,3,"(35.2,48.4]",113805.27354351719,160499.98152342823
